,initial,final,next_label
491,33150,33169,0
492,33172,33172,5
493,33174,33182,5
494,33190,33197,5
495,33258,33269,0
496,33274,33284,6
497,33290,33297,5
498,33340,33349,0
499,33358,33378,6
500,33390,33397,6
501,33445,33449,5
502,33458,33460,3
503,33470,33477,1
504,33589,33589,0
505,33598,33682,5
506,33690,33697,5
507,33741,33749,0
508,33758,33797,6
509,33810,33815,6
510,34088,34089,1
511,34110,34114,1
512,34178,34227,6
513,34230,34237,6
514,34306,34309,0
515,34318,34357,6
516,34370,34373,6
517,34518,34529,0
518,34537,34557,6
519,34570,34577,6
520,34718,34729,0
521,34735,34797,6
522,34810,34812,6
523,34858,34869,0
524,34874,34884,6
525,34890,34897,5
526,34998,35009,0
527,35017,35059,6
528,35070,35077,6
529,35218,35229,0
530,35238,35277,5
531,35290,35296,6
532,35378,35389,0
533,35394,35417,6
534,35430,35435,6
535,35664,35669,0
536,35678,35737,5
537,35909,35909,1
538,35918,35967,5
539,35970,35977,5
540,36018,36061,5
541,36070,36077,5
542,36086,36089,5
543,36098,36126,6
544,36130,36137,6
545,36518,36529,0
546,36537,36658,6
547,36670,36677,5
548,36738,36749,0
549,36753,36768,6
550,36770,36777,5
551,36945,36949,0
552,36958,36998,6
553,37010,37017,6
554,37158,37169,0
555,37176,37198,6
556,37210,37217,5
557,37379,37389,0
558,37398,37437,5
559,37450,37452,6
560,37580,37589,0
561,37598,37637,6
562,37650,37650,6
563,37789,37789,1
564,37798,37842,6
565,37850,37857,5
566,37898,37909,0
567,37914,37928,5
568,37930,37937,5
569,38098,38109,0
570,38114,38161,6
571,38170,38177,6
572,38458,38469,0
573,38476,38537,5
574,38550,38552,6
575,38585,38589,0
576,38598,38617,6
577,38630,38637,5
578,38758,38769,0
579,38772,38804,6
580,38810,38817,6
581,38998,39009,0
582,39014,39037,5
583,39050,39053,6
584,39119,39129,0
585,39138,39160,6
586,39170,39177,5
587,39327,39329,0
588,39338,39367,6
589,39370,39377,5
590,39547,39549,0
591,39558,39607,6
592,39610,39617,5
593,39821,39829,0
594,39838,39868,5
595,39870,39877,5
596,39883,39889,5
597,39898,39917,6
598,39930,39936,6
599,40098,40109,0
600,40116,40160,5
601,40169,40198,6
602,40210,40217,6
603,40406,40409,0
604,40418,40457,5
605,40470,40477,5
606,40518,40529,0
607,40536,40566,6
608,40570,40577,6
609,40624,40625,0
610,40644,40649,0
611,40658,40678,6
612,40690,40697,6
613,40866,40869,0
614,40878,40927,6
615,40930,40937,6
616,41038,41049,0
617,41052,41067,6
618,41070,41077,6
619,41245,41249,0
620,41258,41317,6
621,41330,41331,6
622,41498,41509,0
623,41513,41540,6
624,41550,41557,6
625,41789,41789,1
626,41810,41814,0
627,41821,41829,0
628,41838,41897,6
629,41910,41916,6
630,42002,42009,0
631,42018,42060,6
632,42070,42077,5
633,42185,42189,0
634,42198,42222,6
635,42230,42237,5
636,42298,42309,0
637,42311,42461,0
638,42467,42484,1
639,42490,42497,0
640,42503,42509,1
641,42518,42551,0
642,42557,42597,6
643,42610,42613,6
644,42768,42769,0
645,42778,42817,6
646,42830,42837,6
647,42982,42989,0
648,42998,43007,0
649,43010,43017,0
650,43024,43029,0
651,43038,43107,6
652,43110,43117,6
653,43204,43209,0
654,43458,43469,1
655,43477,43519,1
656,43530,43537,1
657,43558,43569,1
658,43578,43637,6
659,43650,43655,6
660,43726,43729,0
661,43738,43766,6
